番号	作者	和歌	現代語訳（意味）
40	平兼盛	しのぶれど 色に出でにけり わが恋は 物や思ふと 人の問ふまで	誰にも知られまいと隠していたけれど、顔色に出てしまった。物思いをしているのかと人に尋ねられるほどに。
41	壬生忠見	恋すてふ わが名はまだき 立ちにけり 人知れずこそ 思ひそめしか	恋をしているという噂が早くも立ってしまった。誰にも知られないよう、密かに思い始めたばかりなのに。
42	清原元輔	契りきな かたみに袖を しぼりつつ 末の松山 波越さじとは	固く誓い合ったわね。涙で濡れた袖を絞りながら、あの末の松山を波が越えることがないように、二人の心も変わらないと。
43	権中納言敦忠	逢ひ見ての のちの心に くらぶれば 昔は物を 思はざりけり	ついにあなたと結ばれた後の今の恋心に比べれば、それ以前の苦しみなど、何も思っていなかったも同然だ。
44	中納言朝忠	逢ふことの 絶えてしなくは なかなかにおもひをだに 止めてましものを	もし会って別れる辛さがないのなら、いっそ一生会わずに、思いだけでいられたものを。
45	謙徳公	あはれとも いふべき人は おもほえで 身のいたづらに なりぬべきかな	「かわいそうに」と言ってくれる人も思い当たらず、私はこのまま虚しく死んでいくのだろう。
46	曽禰好忠	由良の門を 渡る舟人 かぢを絶え ゆくへも知らぬ 恋の道かな	由良の瀬戸を渡る舟人が舵を失うように、私の恋も行く先が分からず彷徨っている。
47	恵慶法師	八重むぐら しげれる宿の さびしきに 人こそ見えね 秋は来にけり	雑草のしげった寂しい宿に、訪ねてくる人はいないが、秋だけはやって来た。
48	源重之	風をいたみ 岩うつ波の おのれのみ 砕けて物を 思ふころかな	風が強いため、岩に打ち当たる波のように、私だけが心砕けて物思いにふけっている。
49	大中臣能宣朝臣	御垣守 衛士のたく火の 夜は燃え 昼は消えつつ 物をこそ思へ	宮中の門を守る衛士が焚く火のように、私の心も夜は燃え、昼は消え入るように悩み続けている。
50	藤原義孝	君がため 惜しからざりし 命さへ 長くもがなと 思ひけるかな	あなたに会うためなら惜しくなかった命だが、結ばれた今となっては、末長く生きたいと思うようになった。
51	藤原実方朝臣	かくとだに えやはいぶきの さしも草 さしもしらじな 燃ゆる思ひを	こんなに想っていると言えない。伊吹山のさしも草（お灸）のように燃え上がる心を、あなたは知らないでしょう。
52	藤原道信朝臣	明けぬれば 暮るるものとは 知りながら なほ恨めしき 朝ぼらけかな	夜が明ければまた日が暮れて会えると分かってはいるが、それでも別れの朝は恨めしいものだ。
53	右大将道綱母	嘆きつつ ひとり寝る夜の 明くる間は いかに久しき ものとかは知る	あなたを待って嘆きながら、独りで寝る夜が明けるまで、どれほど長いかあなたは知っていますか。
54	儀同三司母	忘れじの 行く末までは かたければ 今日を限りの 命ともがな	「決して忘れない」というあなたの誓いがいつまで続くか不安です。幸せな今日のまま、命が絶えてほしい。
55	大納言公任	滝の音は 絶えて久しく なりぬれど 名こそ流れて なほ聞こえけれ	滝の水枯れて聞こえなくなってから久しいが、その名声だけは今も世間に流れ伝わっている。
56	和泉式部	あらざらむ この世のほかの 思い出に 今一度の 逢ふこともがな	私はもうすぐ死ぬでしょう。あの世への思い出として、最後にもう一度だけあなたに会いたい。
57	紫式部	めぐり逢ひて 見しやそれとも わかぬ間に 雲隠れにし 夜半の月かな	せっかく久しぶりに会えたのに、それが誰かも分からぬほどの短い間に、雲に隠れた月のように帰ってしまうのね。
58	大弐三位	有馬山 猪名の笹原 風吹けば いでそよ人を 忘れやはする	有馬山の笹原に風が吹けば「そよ（その通り）」と鳴る。私があなたを忘れるはずなどありません。
59	赤染衛門	やすらはで 寝なましものを さ夜更けて 傾くまでの 月を見しかな	来ないと分かっていたら、ためらわず寝てしまったものを。あなたを待ち続けて、とうとう月が沈むまで見てしまった。
60	小式部内侍	大江山 いく野の道の 遠ければ まだふみもみず 天の橋立	大江山を越えて行く生野（行く）への道は遠いので、まだ天の橋立の地を「踏んで」もいませんし、母からの「手紙」も見ていません。
61	伊勢大輔	いにしへの 奈良の都の 八重桜 けふ九重に にほひぬるかな	昔の奈良の都で咲いていた八重桜が、今日はこの宮中（九重）で美しく輝いています。
62	清少納言	夜をこめて 鳥のそらねは はかるとも よに逢坂の 関は許さじ	鶏の鳴き真似で夜が明けたと騙そうとしても、函谷関ならいざ知らず、この逢坂の関（私）は決して許しません。
63	左京大夫道雅	今はただ 思ひ絶えなむ とばかりを 人づてならで 言ふよしもがな	今はただ、あなたへの思いを断ち切ろう。そのことだけを、人づてではなく直接あなたに伝える方法があれば。
64	権中納言定頼	朝ぼらけ 宇治の川霧 たえだえに あらはれわたる 瀬々の網代木	夜明けの宇治川の霧が晴れ、切れ間から川瀬に立てられた網代木がだんだん見えてくる。
65	相模	恨みわび ほさぬ袖だに あるものを 恋に朽ちなむ 名こそ惜しけれ	恨んでも袖の涙は乾かない。このまま恋に身を滅ぼす自分の浮名が惜しいのです。
66	前大僧正行尊	もろともに あはれと思へ 山桜 花よりほかに 知る人もなし	山の中に咲く桜よ、私がお前を愛でるように、お前も私を愛おしいと思っておくれ。お前以外に心を通わせる相手はいないのだから。
67	周防内侍	春の夜の 夢ばかりなる 手枕に かひなく立たむ 名こそ惜しけれ	春の夜の夢のように儚い、戯れの腕枕（お誘い）などをしたら、つまらない浮名が立ってしまいます。
68	三条院	心にも あらでこの世に ながらへば 恋しかるべき 夜半の月かな	本望ではないが、もしこの世に生き長らえたなら、今宵の月を恋しく思い出すのだろうか。
69	能登内侍	嵐吹く 三室の山の もみぢ葉は 竜田の川の 錦なりけり	嵐が吹く三室山の紅葉が散って流れて、竜田川は錦の織物のようになっている。
70	良暹法師	寂しさに 宿を立ち出でて ながむれば いづこも同じ 秋の夕暮れ	寂しさに耐えかねて家の外を見渡すと、どこも同じように寂しい秋の夕暮れであった。
71	大納言経信	夕されば 門田の稲葉 おとづれて 芦のまろやに 秋風ぞ吹く	夕方になると田んぼの稲葉をそよがせて、粗末な小屋に秋風が音を立てて吹いてくる。
72	祐子内親王家紀伊	音に聞く 高師の浜の あだ波は かけじや袖の ぬれもこそすれ	評判の高い高師の浜の波（浮気者で有名なあなたの言葉）は、まに受けまい。袖が濡れて（涙して）しまいますから。
73	権中納言匡房	高砂の 尾上の桜 咲きにけり 外山の霞 立たずもあらなむ	遠い高砂の山の桜が咲いた。人里に近い山の霞よ、桜を隠さないでおくれ。
74	源俊頼朝臣	憂かりける 人を初瀬の 山おろしよ 激しかれとは 祈らぬものを	つれないあなたを振り向かせてと初瀬の観音に祈ったが、山おろし（嵐）のように、より冷たくなれとは祈っていないのに。
75	藤原基俊	契りおきし させもが露を 命にて あはれ今年の 秋もいぬめり	約束してくれた恩恵を命の綱として待っていたが、ああ、今年の秋も虚しく過ぎていくようだ。
76	法性寺入道	わたの原 漕ぎ出でて見れば ひさかたの 雲居にまがふ 沖つ白波	広い海へ漕ぎ出して見渡すと、雲と見間違えるほど、沖の方に白い波が立っている。
77	崇徳院	瀬をはやみ 岩にせかるる 滝川の われても末に 逢はむとぞ思う	川の流れが速く、岩にせき止められた急流が二つに分かれても、いつかまた合流するように、私たちも再会したい。
78	源兼昌	淡路島 かよふ千鳥の 鳴く声に いく夜寝覚めぬ 須磨の関守	淡路島から通ってくる千鳥の鳴き声に、須磨の関守は何度目を覚まさせられたことか。
79	左京大夫顕輔	秋風に たなびく雲の 絶え間より 漏れ出づる月の 影のさやけさ	秋風でたなびく雲の切れ間から、漏れ出てくる月光のなんと清らかなことか。
80	待賢門院堀河	長からむ 心も知らず 黒髪の 乱れて今朝は 物をこそ思へ	あなたの心が変わらないか分からず、乱れた黒髪のように、私の心も今朝は乱れて思い悩んでいる。
81	後徳大寺左大臣	ほととぎす 鳴きつる方を ながむれば ただ有明の 月ぞ残れる	ほととぎすが鳴いた方を眺めたが、姿は見えず、ただ明け方の月が残っているだけだった。
82	道因法師	思ひわび さても命は あるものを 浮きに堪へぬは 涙なりけり	つらい恋に嘆いても、命だけはあるものだ。だが、この辛さに耐えきれず溢れてくるのは涙である。
83	皇太后宮大夫俊成	世の中よ 道こそなけれ 思ひ入る 山の奥にも 鹿ぞ鳴くなる	世の中に逃れる道はない。思い詰めて山奥に入ったが、そこでも鹿が悲しく鳴いている。
84	藤原清輔朝臣	ながらへば またこのごろや しのばれむ 憂しと見し世ぞ 今は恋しき	もし生き長らえたなら、今の辛さも懐かしく思い出されるのだろうか。かつて辛かった昔が今は恋しいように。
85	俊恵法師	夜もすがら 物思ふころは 明けやらで 閨のひまさへ つれなかりけり	一晩中物思いにふける夜はなかなか明けず、夜明けを待つ寝室の隙間さえ冷淡に感じる。
86	西行法師	嘆けとて 月やは物を 思はする かこち顔なる わが涙かな	「嘆け」と言って月が物思いをさせるのか。いや、月のせいにして流れる私の涙なのだ。
87	寂蓮法師	村雨の 露もまだひぬ 槙の葉に 霧立ちのぼる 秋の夕暮れ	夕立の露もまだ乾かぬ槙の葉に、霧が立ちのぼっていく秋の夕暮れだ。
88	皇嘉門院大夫	難波江の 芦のかりねの ひとよゆゑ みをつくしてや 恋ひわたるべき	難波江の芦の節のような短い「一夜（一節）」の出会いのせいで、命を捧げて恋し続けることになるのか。
89	式子内親王	玉の緒よ 絶えなば絶えね ながらへば 忍ぶることの 弱りもぞする	私の命よ、絶えるなら絶えてしまえ。生き長らえれば、秘めてきた思いが漏れてしまいそうだから。
90	殷富門院大輔	見せばやな 雄島のあまの 袖だにも 濡れにぞ濡れし 色は変わらず	見せたいものだ。波を被る漁師の袖でさえ色は変わらないが、恋の涙で血の色に染まった私の袖を。
91	後京極摂政	きりぎりす 鳴くや霜夜の さむしろに 衣片敷き ひとりかも寝む	きりぎりすが鳴く霜の降りる寒い夜、むしろの上に自分の衣を敷いて、独り寂しく寝るのだろうか。
92	二条院讃岐	わが袖は 潮干に見えぬ 沖の石の 人こそ知らね 乾く間もなし	私の袖は、潮が引いても見えない沖の石のように、人には気づかれないが乾く暇もなく涙で濡れている。
93	鎌倉右大臣	世の中は 常にもがもな 渚漕ぐ あまの小舟の 綱手かなしも	平和な世の中がずっと変わらないでほしい。渚を漕いでいく漁師の小舟が綱で引かれている光景は、切なくも美しい。
94	参議雅経	み吉野の 山の秋風 小夜更けて ふるさと寒く 衣うつなり	吉野の山の秋風が夜更けて吹き、古い都に衣を打つ音が寒々と響いている。
95	前大僧正慈円	おほけなく 憂き世の民に おほふかな わが立つ杣に 墨染の袖	浅はかな身分ではあるが、この辛い世を生きる民の上に、比叡山に住む私の墨染の袖（仏の慈悲）を広げよう。
96	入道前太政大臣	花さそふ 嵐の庭の 雪ならで ふりゆくものは わが身なりけり	花を誘って散らす嵐の庭で、降っているのは雪（花びら）ではなく、老いていく私自身の姿なのだな。
97	権中納言定家	来ぬ人を まつほの浦の 夕なぎに 焼くや藻塩の 身もこがれつつ	松帆の浦の夕なぎの時に焼く藻塩のように、いつまでも来ない人を待って、私の身も恋い焦がれている。
98	従二位家隆	風そよぐ ならの小川の 夕暮れは 禊ぞ夏の しるしなりける	楢（なら）の葉が風にそよぐ「ならの小川」の夕暮れは涼しく、六月の禊（みそぎ）だけが夏であることの証拠だ。
99	後鳥羽院	人も惜し 人も恨めし あぢきなく 世を思ふゆゑに 物思う身は	人が愛しくもあり、また恨めしくもある。この世を虚しく思うがゆえに、悩み続ける私にとっては。
100	順徳院	ももしきや 古き軒端の しのぶにも なほあまりある 昔なりけり	皇居の古い軒端に生える忍ぶ草を見るにつけ、忍んでも忍びきれないほど、全盛期の昔が懐かしく思い出される。
